PP,WordCode,Word,Translation,Condition,PretrainingNumRep,MnemonicPP,PractCorrectRespB1,PractCorrectRespB2,PractCorrectRespB3,PracticeNumCorrResp,PractTrialB1,PractRespB1,PractFixOnsetB1,PractSentOnsB1,PractRespOnsB1,PractRespLastKeyB1,PractRespSubmB1,PractBackspaceB1,PractSentence,PractTrialB2,PractRespB2,PractFixOnsetB2,PractSentOnsB2,PractRespOnsB2,PractRespLastKeyB2,PractRespSubmB2,PractBackspaceB2,PractTrialB3,PractRespB3,PractFixOnsetB3,PractSentOnsB3,PractRespOnsB3,PractRespLastKeyB3,PractRespSubmB3,PractBackspaceB3,Test1TrialSwa2Nl,Test1RespSwa2Nl,Test1CorrectSwa2Nl,Test1LDSwa2Nl,Test1FixOnsetSwa2Nl,Test1WordOnsetSwa2Nl,Test1RespOnsetSwa2Nl,Test1LastKeySwa2Nl,Test1RespSubmSwa2Nl,Test1BackspaceSwa2Nl,Test1TrialNl2Swa,Test1RespNl2Swa,Test1CorrectNl2Swa,Test1LDNl2Swa,Test1FixOnsetNl2Swa,Test1WordOnsetNl2Swa,Test1RespOnsetNl2Swa,Test1LastKeyNl2Swa,Test1RespSubmNl2Swa,Test1BackspaceNl2Swa,Test2TrialSwa2Nl,Test2RespSwa2Nl,Test2CorrectSwa2Nl,Test2LDSwa2Nl,Test2FixOnsetSwa2Nl,Test2WordOnsetSwa2Nl,Test2RespOnsetSwa2Nl,Test2LastKeySwa2Nl,Test2RespSubmSwa2Nl,Test2BackspaceSwa2Nl,Test2TrialNl2Swa,Test2RespNl2Swa,Test2CorrectNl2Swa,Test2LDNl2Swa,Test2FixOnsetNl2Swa,Test2WordOnsetNl2Swa,Test2RespOnsetNl2Swa,Test2LastKeyNl2Swa,Test2RespSubmNl2Swa,Test2BackspaceNl2Swa,PractLDRespB1,PractLDRespB2,PractLDRespB3,Test1Swa2NlLenient,Test2Swa2NlLenient,Test1Nl2SwaLenient,Test2Nl2SwaLenient,RepeatedTest,FirstTestSession
1,S55,adhama,eer,retrieval,4,adhama adhama adhama adhama adhama,TRUE,TRUE,TRUE,3,19,eer,0.0162258715009,0.0495619319863,2.4488162019,2.81534255278,2.98196292142,0,De koningin heeft de prijs persoonlijk aan hem uitgereikt. Het is een grote adhama voor hem.,36,eer,0.0162700447709,0.0496075633973,1.89903668755,2.29888923096,2.41552373863,0,29,eer,0.0162831740408,0.0496762040329,1.84907028646,2.2655865487,4.01933371759,0,37,eer,TRUE,0,0.0163575932338,1.532544801,2.51558661837,2.88615280877,3.00294378757,0,29,...,FALSE,6,0.016256153428,1.53244232609,6.69745541669,7.08064304416,7.34721996226,0,31,,FALSE,3,0.00549427371334,1.53132227699,2.83243233428,,2.83243233428,0,36,,FALSE,6,0.0108318235975,1.53138764843,2.49932323801,,2.49932323801,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,1
1,S58,ajabu,wonder,retrieval,4,ajabu ajabu ajabu ajabu ajabu,TRUE,TRUE,TRUE,3,29,wonder,0.0163628737446,0.0330388367538,2.81549601761,3.53704504035,3.64854424261,0,Jezus genas een blinde man. Hij verrichtte een ajabu.,22,wonder,0.0163267562539,0.033002086202,1.96574032657,2.68723176774,2.78212542979,0,101,wonder,0.0161782568985,0.0495690636762,1.36578833621,3.10362395598,3.28181564818,1,25,wonder,TRUE,0,0.0162803057628,1.53246466025,3.98169789346,4.68639254095,4.76475945041,0,13,abuju,FALSE,3,0.0163427688012,1.53253024959,5.94777957803,6.78082485974,7.21402901414,0,11,,FALSE,6,0.00518166414986,1.59780111718,2.79656716147,,2.79656716147,0,38,,FALSE,5,0.00565686421032,1.53139770557,3.32961954662,,3.32961954662,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,1
1,S59,anga,hemel,retrieval,2,anga lijkt op angel en die komen uit de hemel,TRUE,TRUE,TRUE,3,2,hemel,0.0164284870871,0.0497676348714,6.08115639112,7.38071058569,8.11382454137,0,Zijn de sterren niet mooi? Kijk eens naar de anga!,73,hemel,0.0163503265312,0.0497355707712,2.28232982022,3.13203703858,3.43194471566,0,34,hemel,0.0162120731666,0.049597314407,1.63240727937,2.13222335692,2.41547655307,0,,,,,,,,,,,,,,,,,,,,,48,hemel,TRUE,0,0.00528391178204,1.5314823532,3.71236483967,4.18652733797,4.47009158985,0,54,anga,TRUE,0,0.00564401341535,1.53143849288,2.74684575833,5.31094007758,5.7771375971,1,0,0,0,,TRUE,,TRUE,FALSE,2
1,S61,askari,politie,context,3,askari askari askari askaria askari,TRUE,TRUE,TRUE,3,23,politie,0.016326261205,0.0497184001115,2.39893557611,5.73115229539,6.13103214444,1,Mijn handtas werd gestolen. Ik ga naar de askari. ,61,politie,0.0162766004041,0.0496632757831,2.19895515066,3.56515475463,3.94837215397,0,54,politie,0.0162763843837,0.0496616436258,1.53249786446,2.51549720673,2.89871409303,0,,,,,,,,,,,,,,,,,,,,,51,,FALSE,7,0.00540990544914,1.53130132461,2.8965773583,,2.8965773583,0,13,mchoro,FALSE,5,0.00545208958101,1.54785538385,5.17744154634,5.91928722785,6.2860754649,0,0,0,0,,FALSE,,FALSE,FALSE,2
1,S104,baba,vader,context,2,baba lijkt op papa,TRUE,TRUE,TRUE,3,42,vader,0.0162880945154,0.0496497984805,3.69846746352,5.28126075287,5.36971839978,1,"Zijn broer, zus en moeder zijn er al. Waar is zijn baba?",95,vader,0.0162410469675,0.0495826399883,2.01564440263,2.76538192125,2.86534979381,0,90,vader,0.0162493007665,0.0496347730286,2.04897082618,2.74872736831,2.86535988679,0,,,,,,,,,,,,,,,,,,,,,20,vader,TRUE,0,0.0111178934753,1.53135859446,3.81242895396,5.14441528183,5.37751781302,0,7,baba,TRUE,0,0.00523362606145,1.54793444418,2.89648432971,3.14623394873,3.42930763547,0,0,0,0,,TRUE,,TRUE,FALSE,2
1,S63,bahari,zee,context,4,bahari bahari bahari bahari bahari,TRUE,TRUE,TRUE,3,3,zee,0.0160979781376,0.0494397841794,5.16575868367,5.6642813932,6.21411394668,0,Er zijn te weinig golven vandaag om te surfen. De bahari is te rustig.,14,zee,0.0162448453357,0.0496319617569,2.41551370566,2.7861610449,2.89868132386,0,45,zee,0.0162365915376,0.049576297376,2.61673428598,3.01946870998,3.1319234236,0,,,,,,,,,,,,,,,,,,,,,53,,FALSE,3,0.0114874935225,1.54787019021,3.2303211721,,3.2303211721,0,10,mer,FALSE,5,0.00539509909777,1.54743996793,2.76285254131,3.09584542169,3.22909615608,0,0,0,0,,FALSE,,FALSE,FALSE,2
1,S93,bamba,bord,retrieval,3,bamba bord rijmt,FALSE,FALSE,FALSE,0,92,,0.0162699877656,0.0329470578827,6.0976686283,,6.0976686283,0,Dit kan ik nooit allemaal opeten! Het bamba is te vol.,77,,0.0160963339786,0.0327745052018,4.53134332185,,4.53134332185,0,70,,0.0163832577146,0.033062028996,10.2797395802,,10.2797395802,0,,,,,,,,,,,,,,,,,,,,,31,,FALSE,4,0.00630778492814,1.53134714049,3.34616326935,,3.34616326935,0,44,,FALSE,5,0.00529396892625,1.53094429599,3.12932956563,,3.12932956563,0,4,4,4,,FALSE,,FALSE,FALSE,2
1,S37,barafu,ijs,context,4,barufu barufu barufu barufu barufu,TRUE,TRUE,TRUE,3,104,ijs,0.0162503028623,0.049636570202,4.78140649063,5.1312982315,5.3812003627,0,Ze mogen nog niet schaatsen. Het barafu is niet stabiel. ,31,ijs,0.0163742178411,0.0497069029998,1.59923726994,2.33644488134,2.48658694307,0,87,ijs,0.0161962286356,0.0495359014703,3.24982193545,3.58172877078,3.69836468259,0,,,,,,,,,,,,,,,,,,,,,41,ijs,TRUE,0,0.0052612832078,1.53136418176,7.87726317172,8.87391442208,9.07993809269,0,8,barifu,FALSE,1,0.00764035652583,1.53133456906,4.81119918872,5.61039908703,6.0435362595,0,0,0,0,,TRUE,,TRUE,FALSE,2
1,S94,baridi,winter,retrieval,4,de winter is een barre tijd en bar is een gedeelte van baridi,TRUE,TRUE,TRUE,3,81,winter,0.0162621360059,0.0329383420394,7.83041599021,8.61347682109,8.79675681916,0,Met de kou en sneeuw is het mijn favoriete seizoen van het jaar. Ik hou van de baridi.,48,winter,0.0163599124589,0.0330371265891,5.43130172883,6.41429801981,6.51426809158,0,15,winter,0.0160299435611,0.0327082888016,2.81516758487,5.19770949525,5.40286788723,0,,,,,,,,,,,,,,,,,,,,,34,winter,TRUE,0,0.00525010860338,1.53107671506,9.92257060604,11.547256425,11.9039123688,0,34,bariti,FALSE,1,0.00532302289821,1.53125941984,3.51263330954,6.15541137212,6.87589567948,0,0,0,0,,TRUE,,TRUE,FALSE,2
1,S64,barua,brief,retrieval,3,burua barua barua barua barua,FALSE,FALSE,FALSE,0,64,,0.0163515896538,0.0496929816545,5.34799366272,,5.34799366272,0,Ik heb de post uit de brievenbus gehaald. Hier is een barua voor je.,47,,0.0161829343506,0.0495225111763,8.91331662861,,8.91331662861,0,73,,0.0163603835035,0.049698466185,1.86581348597,,1.86581348597,0,46,...,FALSE,5,0.0162450433545,1.53243031293,2.88203010124,3.16525368752,3.39851384,0,25,barua,TRUE,0,0.0162724570046,1.53245616943,3.66512929683,4.2315900037,5.4312185698,0,28,,FALSE,5,0.00578062295654,1.531530404,2.8966974853,,2.8966974853,0,48,,FALSE,5,0.00590968963888,1.54808809499,2.76352441442,2.76352441442,3.3318122834,0,5,5,5,FALSE,FALSE,TRUE,FALSE,TRUE,1
